,January,February,March,April,May,June,July,August,September,October,November,December
0,2050.655172413793,2556.793103448276,1928.7241379310344,1790.0689655172414,1644.1724137931035,1899.6206896551723,2836.344827586207,4700.206896551724,5599.931034482759,5759.724137931034,5132.586206896552,2760.206896551724
1,1941.9655172413793,1582.3793103448277,1597.7586206896551,1611.1724137931035,1786.4137931034484,2190.9655172413795,2900.9655172413795,2852.655172413793,2632.9655172413795,2524.103448275862,2542.137931034483,2514.6206896551726
2,2361.8214285714284,2450.964285714286,2350.964285714286,2148.464285714286,2178.4285714285716,2611.464285714286,3101.4285714285716,5103.357142857143,5884.321428571428,4592.035714285715,3702.5714285714284,2558.8214285714284
3,2157.689655172414,1830.2413793103449,1628.655172413793,1592.7931034482758,1525.2758620689656,1627.7241379310344,1734.0,1623.8275862068965,1463.9310344827586,1499.551724137931,1894.7241379310344,1656.103448275862
4,1571.6,1464.0666666666666,1421.2,1426.4,1339.6,1410.2333333333333,1473.9666666666667,3036.6666666666665,2799.4333333333334,3425.366666666667,4468.166666666667,4415.766666666666
5,4213.166666666667,3107.866666666667,2119.0,1703.5666666666666,1545.8333333333333,1814.0333333333333,2273.3,2170.5333333333333,2017.3666666666666,2090.6,2007.6333333333334,1519.6
